sample_id,node,node_idx,p_load_kw,q_load_kvar,q_capacitor_bank,FEEDER_REGA,FEEDER_REGB,FEEDER_REGC,VREG2_A,VREG2_B,VREG2_C,VREG3_A,VREG3_B,VREG3_C,VREG4_A,VREG4_B,VREG4_C
0,l2673322.2,12,1.71150414474,0.458414759793,0.0,0.0,1.0,0.0,0.0,1.00625,0.0,0.0,1.0125000000000002,0.0,0.0,0.0,0.0
0,l2673309.3,14,4.36926996741,1.18749303594,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,l2804270.2,16,2.72395827363,0.641757767269,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0125000000000002,0.0,0.0,0.0,0.0
0,l2935553.2,18,4.24104840811,1.06280523565,0.0,0.0,1.0,0.0,0.0,1.00625,0.0,0.0,1.0125000000000002,0.0,0.0,0.0,0.0
0,l2748840.2,20,2.5570938729,0.64282444625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,l3085398.2,24,4.48668081186,1.13692829242,0.0,0.0,1.0,0.0,0.0,1.00625,0.0,0.0,1.0125000000000002,0.0,0.0,0.0,0.0
0,l3216367.2,30,4.47316924618,1.01361900723,0.0,0.0,1.0,0.0,0.0,1.00625,0.0,0.0,1.0125000000000002,0.0,0.0,0.0,0.0
0,l3254207.1,52,2.34500023318,0.590298565839,0.0,1.0,0.0,0.0,1.0124999999999995,0.0,0.0,1.025,0.0,0.0,0.0,0.0,0.0
0,l2729406.3,65,2.6400705495,0.663282196043,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,l2897768.3,66,4.53725998355,1.08713626683,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,l3649301.1,67,6.08058926558,1.48446506951,0.0,1.0,0.0,0.0,1.0124999999999995,0.0,0.0,1.025,0.0,0.0,0.0,0.0,0.0
0,l3649302.1,68,5.73996710296,1.50187324844,0.0,1.0,0.0,0.0,1.0124999999999995,0.0,0.0,1.025,0.0,0.0,0.0,0.0,0.0
0,l2822871.2,76,4.58161981224,1.16404137288,0.0,0.0,1.0,0.0,0.0,1.00625,0.0,0.0,1.0125000000000002,0.0,0.0,0.0,0.0
0,l2973163.2,82,1.81789909218,0.429754130291,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01875,0.0
0,l3728038.1,83,3.82284645175,0.985815084243,0.0,1.0,0.0,0.0,1.0124999999999995,0.0,0.0,1.025,0.0,0.0,0.0,0.0,0.0
0,l3728039.1,84,5.83304581122,1.47817248084,0.0,1.0,0.0,0.0,1.0124999999999995,0.0,0.0,1.025,0.0,0.0,0.0,0.0,0.0
0,l3216351.1,88,3.69631696786,1.04270396892,0.0,1.0,0.0,0.0,1.0124999999999995,0.0,0.0,1.025,0.0,0.0,0.0,0.0,0.0
0,l2952007.3,89,4.58385953516,1.06911473726,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,l2861158.3,90,4.53803604136,1.22145524822,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,l2730106.3,99,4.5684166739,1.10268415161,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,l3172805.1,106,3.8436674096,1.03780639091,0.0,1.0,0.0,0.0,1.0124999999999995,0.0,0.0,1.025,0.0,0.0,0.0,0.0,0.0
0,l3048962.1,108,5.82915539652,1.46730402478,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,l2991914.3,111,2.59812568164,0.676570726931,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.99375,0.0,0.0,0.0
0,l2973154.1,116,2.50414456203,0.604907099374,0.0,1.0,0.0,0.0,1.0124999999999995,0.0,0.0,1.025,0.0,0.0,0.0,0.0,0.0
0,l3010565.3,117,1.88732187553,0.446171198455,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
