t_index,t_minutes,device_type,device,bus,p_kw_set,q_kvar_set,noise_p,noise_q,pmpp_kw_set
0,0,Load,s860,860,48.00280917461408,40.3956338737337,0.9996586610067238,1.052307164615245,
0,0,Load,d834_860ra,860,6.639963218130239,3.3147694775735594,1.037079421064424,1.0361978270824996,
0,0,Load,d834_860rb,860,8.650969493529365,3.7576826902949803,1.0809388111667038,0.9397220928676836,
0,0,Load,d834_860rc,860,42.637746242817435,20.54067983331091,0.9686522264461813,0.9339668394197438,
0,0,Load,d860_836sa,860,11.940122634629276,6.297608460847143,0.9946123746025985,1.0499381827658512,
0,0,Load,d860_836sb,860,3.9972086669150233,2.4587167099505067,0.998902605686481,1.024794003323211,
0,0,Load,d860_836sc,860,15.201032303820455,8.861864836006072,0.9044615667911676,1.0073532082939163,
0,0,Load,s840,840,20.644807156116357,18.295339376389336,0.9546528374370352,1.0887694693623071,
0,0,Load,d836_840ra,840,7.528128801950291,3.771710068398302,1.0443424538229396,1.0474674741629018,
0,0,Load,d836_840rb,840,8.784886576657746,4.535824437179115,0.9971072518749515,1.0306431137140046,
0,0,Load,s844,844,334.6499189822959,247.63372787805548,1.032894508102725,0.9827798666789719,
0,0,Load,d842_844ra,844,3.5103901474418966,1.988307550203717,0.9751313982252072,0.9942613608296565,
0,0,Load,d844_846sb,844,9.697045031911005,4.656854582461397,0.9697273995324782,0.9702830291247573,
0,0,Load,d844_846sc,844,7.886463637192519,4.2392893309243185,0.9858312312198021,0.9635791136408274,
0,0,Load,s848,848,49.816602215658676,35.30433972935415,1.03831638929727,0.9201956833102283,
0,0,Load,d846_848rb,848,9.574497958604267,4.258614925743649,1.0411781064307846,0.9687216764870774,
0,0,Load,s830a,830,7.776906909554911,3.7309408467737453,0.9727030022152945,0.9324576429067105,
0,0,Load,s830b,830,7.937488642920569,3.951643651321789,0.9927878940575515,0.9876169245366316,
0,0,Load,s830c,830,20.179216061436655,7.788808120597582,1.0095727915269028,0.9733112852037533,
0,0,Load,d828_830ra,830,2.811420588804877,1.3095712201326686,1.0046878089651734,1.0909845919064547,
0,0,Load,s890,890,367.3894241957541,174.82280272242528,1.0204499847226798,0.9713154981422141,
0,0,Load,d802_806sb,802,12.535064477381383,5.9661287475371,1.0476554797619335,0.9935599433015421,
0,0,Load,d802_806sc,802,10.26679529050928,5.77618653552944,1.0296937234048953,1.0306373714473849,
0,0,Load,d802_806rb,806,11.73092015082052,5.425250481742799,0.9804467141619538,0.9034856251237008,
0,0,Load,d802_806rc,806,9.797409299584746,5.759011044678811,0.9826173188372529,1.0275727711899785,
0,0,Load,d808_810sb,808,6.247365244351636,3.243419162640158,0.9809944796733303,1.0219484657441513,
0,0,Load,d808_810rb,810,6.680305245143969,3.0874157303903105,1.0489770185829987,0.9727943292467957,
0,0,Load,d818_820sa,818,14.422372320094288,7.313705089992782,1.0615675876270645,1.0810902230844068,
0,0,Load,d818_820ra,820,14.343623719245613,7.202014371705922,1.053952297210204,1.0582731420313634,
0,0,Load,d820_822sa,820,57.00058296040237,31.18127976854745,1.0548398223888222,1.1127269530285575,
0,0,Load,d820_822ra,822,54.56302797279341,27.98211554854561,1.009293045232047,1.0001042041425634,
0,0,Load,d816_824sb,816,2.041026222081364,0.79727377184543,1.030155365259511,0.9545902440678041,
0,0,Load,d816_824rb,824,1.838071584409329,0.7651020409354783,0.9223411617557729,0.9558996013686635,
0,0,Load,d824_826sb,824,16.239645382555175,8.193315946967473,1.018628267507132,1.0236526670374153,
0,0,Load,d824_828sc,824,1.4717978896238963,0.7250237823841557,0.9231820640854128,0.9058268145729081,
0,0,Load,d824_826rb,826,15.738976456275608,7.942528894931638,0.9841928878544707,0.9905971741962551,
0,0,Load,d824_828rc,828,1.5913918189368577,0.8287066519407001,0.9975399583499786,1.0335681223318518,
0,0,Load,d828_830sa,828,2.9633368227256582,1.216572818274644,1.0614417089109627,1.011544821495387,
0,0,Load,d854_856sb,854,1.6044089265897008,0.7894643773083656,1.030634235180187,0.945239915359633,
0,0,Load,d854_856rb,856,1.4651608893862136,0.8450653128485408,0.9411845992768214,1.0118119167247854,
0,0,Load,d832_858sa,832,2.8659738598598623,1.2611978360760951,1.0332331551391967,1.0363121727956044,
0,0,Load,d832_858sb,832,0.8159997570426905,0.4215743028421839,1.0296370995551998,1.0392086854488138,
0,0,Load,d832_858sc,832,2.473805764756303,1.1103847342657183,1.0404914014998314,0.9123907318031172,
0,0,Load,d832_858ra,858,2.6875508480870054,1.2300587580077462,0.9632917115524736,1.022757987115317,
0,0,Load,d832_858rb,858,0.8209144087275237,0.37058641007005877,1.0298335982533495,0.9243953795250108,
0,0,Load,d832_858rc,858,2.53166208339323,1.1762991055586458,1.0586530683280992,0.9780584038076757,
0,0,Load,d858_864sb,858,0.7878693886257252,0.40638463997049246,0.9883787625311459,1.0136909322380179,
0,0,Load,d858_834sa,858,1.65402202518143,0.7443389129817285,1.0374817616024221,0.9283441503304204,
0,0,Load,d858_834sb,858,6.274407475244182,3.219562656814214,1.0494956288487072,1.003864673386057,
