t_index,t_minutes,bus,p_bus_kw_set,q_bus_kvar_set,p_bus_share_realized,q_bus_share_realized,p_bus_share_target,q_bus_share_target
0,0,802,22.80185976789066,11.74231528306654,0.015866067010433468,0.014176608157799316,0.0155,0.0139
0,0,806,21.528329450405266,11.18426152642161,0.014979914847288616,0.0135028645860906,0.0155,0.0139
0,0,808,6.247365244351636,3.243419162640158,0.004347062766569481,0.0039158105920180245,0.0045,0.0038
0,0,810,6.680305245143969,3.0874157303903105,0.004648312538912226,0.003727466174672392,0.0045,0.0038
0,0,816,2.041026222081364,0.79727377184543,0.0014201937534584906,0.000962556155704894,0.0014,0.001
0,0,818,14.422372320094288,7.313705089992782,0.010035423777242399,0.008829905239561306,0.0096,0.0081
0,0,820,71.34420667964798,38.383294140253376,0.049642966648690334,0.04634051357968832,0.0478,0.0417
0,0,822,54.56302797279341,27.98211554854561,0.03796623025142741,0.03378307241758864,0.0382,0.0335
0,0,824,19.5495148565884,9.683441770287107,0.013603009398947354,0.011690910717939451,0.0138,0.0115
0,0,826,15.738976456275608,7.942528894931638,0.010951547710268373,0.009589090159060974,0.0113,0.0096
0,0,828,4.554728641662516,2.0452794702153443,0.0031692866537457523,0.0024692852238644837,0.0031,0.0024
0,0,830,38.705032202717014,16.780963838825784,0.026931866120589773,0.02025981615365938,0.0274,0.0206
0,0,832,6.155779381658856,2.7931568731839973,0.00428333518252661,0.0033722046768320533,0.0042,0.0034
0,0,834,70.56686847685992,37.02596534147748,0.04910207655723504,0.044701797699755214,0.0503,0.0431
0,0,836,47.89731829998122,25.13929908764669,0.03332807365290904,0.03035091325142963,0.0345,0.0302
0,0,838,12.6402911812961,5.423978756582817,0.008795410065465359,0.00654842078709891,0.0079,0.0067
0,0,840,36.95782253472439,26.602873881966755,0.025716116793305294,0.032117900925370604,0.0266,0.0297
0,0,842,3.4444973338016083,1.9933787626204513,0.0023967617585436683,0.002406625009337084,0.0025,0.0024
0,0,844,355.7438177988413,258.5181793416449,0.2475348637873842,0.31211143985201245,0.2442,0.3151
0,0,846,26.717668399515524,13.091130278028741,0.018590778186707017,0.015805045241967738,0.0192,0.0163
0,0,848,59.391100174262945,39.5629546550978,0.041325715743378275,0.047764728862196876,0.0404,0.0512
0,0,854,1.6044089265897008,0.7894643773083656,0.0011163852335087253,0.0009531277999136579,0.0011,0.001
0,0,856,1.4651608893862136,0.8450653128485408,0.00101949319435791,0.0010202553345913226,0.0011,0.001
0,0,858,19.738097827945303,9.914877917931834,0.013734229838465568,0.011970325765110033,0.0138,0.012
0,0,860,137.06985173445588,85.62695588171688,0.09537640678728893,0.10337823265832596,0.0984,0.1015
0,0,862,11.431146648136597,5.547885891190837,0.007954059036045243,0.006698015041123645,0.0079,0.0067
0,0,864,0.756318047071897,0.40407772520630847,0.0005262637757706446,0.00048784685451306844,0.0006,0.0005
0,0,890,367.3894241957541,174.82280272242528,0.25563814892953485,0.21106522108277392,0.2544,0.2155
1,5,802,20.9756161895766,11.362133067828502,0.015448314444554082,0.013311447938268066,0.0155,0.0139
1,5,806,21.773941441367143,11.708480160190408,0.016036272357552922,0.013717215170619902,0.0155,0.0139
1,5,808,6.771726001797468,3.300074356770713,0.0049873029551386885,0.0038662430487590095,0.0045,0.0038
1,5,810,6.340935778638751,3.3152493899372644,0.004670030615349093,0.003884021547105416,0.0045,0.0038
1,5,816,1.8152689616348212,0.7823568133119067,0.0013369259557060933,0.0009165798294546031,0.0014,0.001
1,5,818,14.315801042193375,6.690985778206055,0.01054343262322738,0.007838907387422819,0.0096,0.0081
1,5,820,66.02463262312926,36.52683153372834,0.04862642778309022,0.042793462583873704,0.0478,0.0417
